Title,Title Short,Link,Duration,Artist,Artist Link,Album,Album Link
La Cabra,La Cabra,https://www.deezer.com/track/93114828,222,Vladimir Cosma,https://www.deezer.com/artist/17238,La chèvre (Bande originale du film de Francis Veber),https://api.deezer.com/album/9455700/tracks
Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],https://www.deezer.com/track/2271581097,239,Daft Punk,https://www.deezer.com/artist/27,Random Access Memories (10th Anniversary Edition),https://api.deezer.com/album/438167857/tracks
Superstar (feat. Matthew Santos),Superstar (feat. Matthew Santos),https://www.deezer.com/track/663451,289,Lupe Fiasco,https://www.deezer.com/artist/5047,Lupe Fiasco's The Cool,https://api.deezer.com/album/80476/tracks
Love Illumination,Love Illumination,https://www.deezer.com/track/69828694,222,Franz Ferdinand,https://www.deezer.com/artist/919,"Right Thoughts, Right Words, Right Action",https://api.deezer.com/album/6845687/tracks
Float On,Float On,https://www.deezer.com/track/581923,208,Modest Mouse,https://www.deezer.com/artist/1237,Good News For People Who Love Bad News,https://api.deezer.com/album/74906/tracks
Machu Picchu,Machu Picchu,https://www.deezer.com/track/10101601,209,The Strokes,https://www.deezer.com/artist/569,Angles,https://api.deezer.com/album/924062/tracks
When You Die,When You Die,https://www.deezer.com/track/457602432,263,MGMT,https://www.deezer.com/artist/69627,Little Dark Age,https://api.deezer.com/album/56298312/tracks
There She Goes,There She Goes,https://www.deezer.com/track/3152323,215,Babyshambles,https://www.deezer.com/artist/1331,Shotter's Nation,https://api.deezer.com/album/303099/tracks
Junk Of The Heart (Happy),Junk Of The Heart (Happy),https://www.deezer.com/track/13569630,187,The Kooks,https://www.deezer.com/artist/4337,Junk Of The Heart,https://api.deezer.com/album/1242289/tracks
Subwoofer Lullaby,Subwoofer Lullaby,https://www.deezer.com/track/91066107,208,C418,https://www.deezer.com/artist/4718868,Minecraft - Volume Alpha,https://api.deezer.com/album/9236757/tracks
The Way You Used To Do,The Way You Used To Do,https://www.deezer.com/track/372654431,274,Queens of the Stone Age,https://www.deezer.com/artist/1177,The Way You Used To Do,https://api.deezer.com/album/43044261/tracks
You Only Live Once,You Only Live Once,https://www.deezer.com/track/15529718,189,The Strokes,https://www.deezer.com/artist/569,First Impressions Of Earth,https://api.deezer.com/album/1435596/tracks
Write This Down (feat. Nieve),Write This Down (feat. Nieve),https://www.deezer.com/track/1563566832,189,Soulchef,https://www.deezer.com/artist/1018340,Escapism,https://api.deezer.com/album/274861592/tracks
Heureux qui comme Ulysse,Heureux qui comme Ulysse,https://www.deezer.com/track/917438,133,Georges Brassens,https://www.deezer.com/artist/671,La Religieuse-Volume 10,https://api.deezer.com/album/103351/tracks
